epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.993,0.88363,1.5455,1.32526,0.77729,0.77208,0.85568,0.60668,0.89581,1.80889,1.53559,0.000660377,0.000660377,0.000660377
2,4962.34,0.9769,1.17007,1.36143,0.53518,0.59011,0.56484,0.32059,1.47925,1.91056,2.60059,0.00130077,0.00130077,0.00130077
3,52499.7,0.9976,1.06953,1.37003,0.61284,0.56772,0.60678,0.3686,1.53562,1.67053,2.05825,0.00191476,0.00191476,0.00191476
4,60495.2,0.97521,0.98573,1.36257,0.76989,0.78026,0.81912,0.49603,1.17735,1.23577,1.85902,0.0018812,0.0018812,0.0018812
5,61202.1,0.98108,0.92869,1.34848,0.75807,0.80389,0.86503,0.63806,0.8907,1.11693,1.4345,0.0018416,0.0018416,0.0018416
6,61890.2,0.90281,0.82735,1.29317,0.85092,0.85715,0.91832,0.67787,0.8792,0.84665,1.44266,0.001802,0.001802,0.001802
7,66270.3,0.86749,0.80058,1.27573,0.90131,0.88693,0.94487,0.73412,0.72904,0.70593,1.31701,0.0017624,0.0017624,0.0017624
8,67386.8,0.86046,0.77955,1.26694,0.92607,0.90738,0.96462,0.74651,0.78025,0.63358,1.39739,0.0017228,0.0017228,0.0017228
9,68058.3,0.86787,0.76567,1.26905,0.88451,0.88163,0.90901,0.67212,0.82188,0.75,1.4359,0.0016832,0.0016832,0.0016832
10,70026.1,0.81313,0.70338,1.24693,0.93206,0.91343,0.9741,0.79024,0.63926,0.59049,1.2266,0.0016436,0.0016436,0.0016436
11,70682.7,0.81881,0.70142,1.23862,0.95667,0.9362,0.97678,0.79787,0.65104,0.56021,1.22702,0.001604,0.001604,0.001604
12,72523.3,0.79611,0.69472,1.22975,0.89751,0.94346,0.96741,0.73391,0.80077,0.57876,1.37927,0.0015644,0.0015644,0.0015644
13,73166.3,0.78337,0.66773,1.22419,0.93437,0.93463,0.97694,0.784,0.66014,0.52456,1.25088,0.0015248,0.0015248,0.0015248
14,73857.3,0.75838,0.64856,1.20722,0.94332,0.92933,0.97452,0.81252,0.61115,0.53086,1.2015,0.0014852,0.0014852,0.0014852
15,74531.8,0.74761,0.61478,1.19466,0.95059,0.95171,0.98051,0.81781,0.61825,0.46933,1.20592,0.0014456,0.0014456,0.0014456
16,75191.8,0.73225,0.60954,1.18556,0.97458,0.94819,0.97778,0.81801,0.58549,0.47116,1.16498,0.001406,0.001406,0.001406
17,92030.5,0.71189,0.58052,1.18044,0.95453,0.96429,0.98946,0.83367,0.60257,0.45733,1.19748,0.0013664,0.0013664,0.0013664
18,93534.9,0.73131,0.60167,1.19104,0.9595,0.96261,0.98628,0.83609,0.60305,0.45311,1.18842,0.0013268,0.0013268,0.0013268
